,X,Y,Z
341,602.3000000000001,0.0,120.0
342,602.6,0.0,120.0
343,602.9,0.0,120.0
344,603.2,0.0,120.0
345,603.5,0.0,120.0
346,603.8000000000001,0.0,120.0
347,604.1,0.0,120.0
348,604.4,0.0,120.0
349,604.7,0.0,120.0
350,605.0,0.0,120.0
351,605.3000000000001,0.0,120.0
352,605.6,0.0,120.0
353,605.9,0.0,120.0
354,606.2,0.0,120.0
355,606.5,0.0,120.0
356,606.8000000000001,0.0,120.0
357,607.1,0.0,120.0
358,607.4,0.0,120.0
359,607.7,0.0,120.0
360,608.0,0.0,120.0
361,608.3000000000001,0.0,120.0
362,608.6,0.0,120.0
363,608.9,0.0,120.0
364,609.2,0.0,120.0
365,609.5,0.0,120.0
366,609.8000000000001,0.0,120.0
367,610.1,0.0,120.0
368,610.4,0.0,120.0
369,610.7,0.0,120.0
370,611.0,0.0,120.0
371,611.3000000000001,0.0,120.0
372,611.6,0.0,120.0
373,611.9,0.0,120.0
374,612.2,0.0,120.0
375,612.5,0.0,120.0
376,612.8000000000001,0.0,120.0
377,613.1,0.0,120.0
378,613.4,0.0,120.0
379,613.7,0.0,120.0
380,614.0,0.0,120.0
381,614.3000000000001,0.0,120.0
382,614.6,0.0,120.0
383,614.9000000000001,0.0,120.0
384,615.2,0.0,120.0
385,615.5,0.0,120.0
386,615.8000000000001,0.0,120.0
387,616.1,0.0,120.0
388,616.4000000000001,0.0,120.0
389,616.7,0.0,120.0
390,617.0,0.0,120.0
391,617.3000000000001,0.0,120.0
392,617.6,0.0,120.0
393,617.9000000000001,0.0,120.0
394,618.2,0.0,120.0
395,618.5,0.0,120.0
396,618.8000000000001,0.0,120.0
397,619.1,0.0,120.0
398,619.4000000000001,0.0,120.0
399,619.7,0.0,120.0
400,620.0,0.0,120.0
401,620.3000000000001,0.0,120.0
402,620.6,0.0,120.0
403,620.9000000000001,0.0,120.0
404,621.2,0.0,120.0
405,621.5,0.0,120.0
406,621.8000000000001,0.0,120.0
407,622.1,0.0,120.0
408,622.4000000000001,0.0,120.0
409,622.7,0.0,120.0
410,623.0,0.0,120.0
411,623.3000000000001,0.0,120.0
412,623.6,0.0,120.0
413,623.9000000000001,0.0,120.0
414,624.2,0.0,120.0
415,624.5,0.0,120.0
416,624.8000000000001,0.0,120.0
417,625.1,0.0,120.0
418,625.4000000000001,0.0,120.0
419,625.7,0.0,120.0
420,626.0,0.0,120.0
421,626.3000000000001,0.0,120.0
422,626.6,0.0,120.0
423,626.9000000000001,0.0,120.0
424,627.2,0.0,120.0
425,627.5,0.0,120.0
426,627.8000000000001,0.0,120.0
427,628.1,0.0,120.0
428,628.4000000000001,0.0,120.0
429,628.7,0.0,120.0
430,629.0,0.0,120.0
431,629.3000000000001,0.0,120.0
432,629.6,0.0,120.0
433,629.9000000000001,0.0,120.0
434,630.2,0.0,120.0
435,630.5,0.0,120.0
436,630.8000000000001,0.0,120.0
437,631.1,0.0,120.0
438,631.4000000000001,0.0,120.0
439,631.7,0.0,120.0
440,632.0,0.0,120.0
441,632.3000000000001,0.0,120.0
442,632.6,0.0,120.0
443,632.9000000000001,0.0,120.0
444,633.2,0.0,120.0
445,633.5,0.0,120.0
446,633.8000000000001,0.0,120.0
447,634.1,0.0,120.0
448,634.4000000000001,0.0,120.0
449,634.7,0.0,120.0
450,635.0,0.0,120.0
451,635.3000000000001,0.0,120.0
452,635.6,0.0,120.0
453,635.9000000000001,0.0,120.0
454,636.2,0.0,120.0
455,636.5,0.0,120.0
456,636.8000000000001,0.0,120.0
457,637.1,0.0,120.0
458,637.4000000000001,0.0,120.0
459,637.7,0.0,120.0
460,638.0,0.0,120.0
461,638.3000000000001,0.0,120.0
462,638.6,0.0,120.0
463,638.9000000000001,0.0,120.0
464,639.2,0.0,120.0
465,639.5,0.0,120.0
466,639.8000000000001,0.0,120.0
467,640.1,0.0,120.0
468,640.4000000000001,0.0,120.0
469,640.7,0.0,120.0
470,641.0,0.0,120.0
471,641.3000000000001,0.0,120.0
472,641.6,0.0,120.0
473,641.9000000000001,0.0,120.0
474,642.2,0.0,120.0
475,642.5,0.0,120.0
476,642.8000000000001,0.0,120.0
477,643.1,0.0,120.0
478,643.4000000000001,0.0,120.0
479,643.7,0.0,120.0
480,644.0,0.0,120.0
481,644.3000000000001,0.0,120.0
482,644.6,0.0,120.0
483,644.9000000000001,0.0,120.0
484,645.2,0.0,120.0
485,645.5,0.0,120.0
486,645.8000000000001,0.0,120.0
487,646.1,0.0,120.0
488,646.4000000000001,0.0,120.0
489,646.7,0.0,120.0
490,647.0,0.0,120.0
491,647.3000000000001,0.0,120.0
492,647.6,0.0,120.0
493,647.9000000000001,0.0,120.0
494,648.2,0.0,120.0
495,648.5,0.0,120.0
496,648.8000000000001,0.0,120.0
497,649.1,0.0,120.0
498,649.4000000000001,0.0,120.0
499,649.7,0.0,120.0
500,650.0,0.0,120.0
501,650.3000000000001,0.0,120.0
502,650.6,0.0,120.0
503,650.9000000000001,0.0,120.0
504,651.2,0.0,120.0
505,651.5,0.0,120.0
506,651.8000000000001,0.0,120.0
507,652.1,0.0,120.0
508,652.4000000000001,0.0,120.0
509,652.7,0.0,120.0
510,653.0,0.0,120.0
511,653.3000000000001,0.0,120.0
512,653.6,0.0,120.0
513,653.9000000000001,0.0,120.0
514,654.2,0.0,120.0
515,654.5,0.0,120.0
516,654.8000000000001,0.0,120.0
517,655.1,0.0,120.0
518,655.4000000000001,0.0,120.0
519,655.7,0.0,120.0
520,656.0,0.0,120.0
521,656.3000000000001,0.0,120.0
522,656.6,0.0,120.0
523,656.9000000000001,0.0,120.0
524,657.2,0.0,120.0
525,657.5,0.0,120.0
526,657.8000000000001,0.0,120.0
527,658.1,0.0,120.0
528,658.4000000000001,0.0,120.0
529,658.7,0.0,120.0
530,659.0,0.0,120.0
531,659.3000000000001,0.0,120.0
532,659.6,0.0,120.0
533,659.9000000000001,0.0,120.0
534,660.2,0.0,120.0
535,660.5,0.0,120.0
536,660.8000000000001,0.0,120.0
537,661.1,0.0,120.0
538,661.4000000000001,0.0,120.0
539,661.7,0.0,120.0
